table_name,description
academic_year_2020_2021_q4_data_quarterly_activity,"This table reports quarter-specific Direct Loan activity by institution for the fourth quarter (Q4) of Award Year 2020-2021 (April 1-June 30, 2021). Each row corresponds to a school identified by OPE ID and includes institutional attributes (school name, state, ZIP code, and school type), followed by loan metrics broken out by loan program: Direct Subsidized, Direct Unsubsidized (Undergraduate), Direct Unsubsidized (Graduate), Direct Parent PLUS, and Direct Grad PLUS. For each loan program, the table shows the number of recipients, loans originated, dollars originated, disbursements, and dollars disbursed, restricted to loans whose first disbursement occurred within the reported quarter. All values reflect activity occurring during the quarter only and are not cumulative across prior quarters."
academic_year_2020_2021_q4_data_award_year_summary,"This table presents cumulative Direct Loan activity for Award Year 2020-2021 through the end of the fourth quarter (Q4, April 1-June 30, 2021), aggregated by institution. As in the quarterly table, each row corresponds to a school and reports institutional attributes along with loan metrics by loan program: Direct Subsidized, Direct Unsubsidized (Undergraduate), Direct Unsubsidized (Graduate), Direct Parent PLUS, and Direct Grad PLUS. For each program, the table includes recipients, loans originated, dollars originated, disbursements, and dollars disbursed, where all values represent year-to-date totals from the beginning of the award year through the quarter end date. Compared to the quarterly activity table, values in this table are cumulative and therefore typically larger."
academic_year_2021_2022_q4_data_quarterly_activity,"This table reports quarter-specific Direct Loan activity by institution for the fourth quarter (Q4) of Award Year 2021-2022 (April 1-June 30, 2022). Each row corresponds to a school identified by OPE ID and includes institutional attributes (school name, state, ZIP code, and school type), followed by loan metrics broken out by loan program: Direct Subsidized, Direct Unsubsidized (Undergraduate), Direct Unsubsidized (Graduate), Direct Parent PLUS, and Direct Grad PLUS. For each loan program, the table shows the number of recipients, loans originated, dollars originated, disbursements, and dollars disbursed, restricted to loans whose first disbursement occurred within the reported quarter. All values reflect activity occurring during the quarter only and are not cumulative across prior quarters."
academic_year_2021_2022_q4_data_award_year_summary,"This table presents cumulative Direct Loan activity for Award Year 2021-2022 through the end of the fourth quarter (Q4, April 1-June 30, 2022), aggregated by institution. As in the quarterly table, each row corresponds to a school and reports institutional attributes along with loan metrics by loan program: Direct Subsidized, Direct Unsubsidized (Undergraduate), Direct Unsubsidized (Graduate), Direct Parent PLUS, and Direct Grad PLUS. For each program, the table includes recipients, loans originated, dollars originated, disbursements, and dollars disbursed, where all values represent year-to-date totals from the beginning of the award year through the quarter end date. Compared to the quarterly activity table, values in this table are cumulative and therefore typically larger."
academic_year_2022_2023_q4_data_quarterly_activity,"This table reports quarter-specific Direct Loan activity by institution for the fourth quarter (Q4) of Award Year 2022-2023 (April 1-June 30, 2023). Each row corresponds to a school identified by OPE ID and includes institutional attributes (school name, state, ZIP code, and school type), followed by loan metrics broken out by loan program: Direct Subsidized, Direct Unsubsidized (Undergraduate), Direct Unsubsidized (Graduate), Direct Parent PLUS, and Direct Grad PLUS. For each loan program, the table shows the number of recipients, loans originated, dollars originated, disbursements, and dollars disbursed, restricted to loans whose first disbursement occurred within the reported quarter. All values reflect activity occurring during the quarter only and are not cumulative across prior quarters."
academic_year_2022_2023_q4_data_award_year_summary,"This table presents cumulative Direct Loan activity for Award Year 2022-2023 through the end of the fourth quarter (Q4, April 1-June 30, 2023), aggregated by institution. As in the quarterly table, each row corresponds to a school and reports institutional attributes along with loan metrics by loan program: Direct Subsidized, Direct Unsubsidized (Undergraduate), Direct Unsubsidized (Graduate), Direct Parent PLUS, and Direct Grad PLUS. For each program, the table includes recipients, loans originated, dollars originated, disbursements, and dollars disbursed, where all values represent year-to-date totals from the beginning of the award year through the quarter end date. Compared to the quarterly activity table, values in this table are cumulative and therefore typically larger."
academic_year_2023_2024_q4_data_quarterly_activity,"This table reports quarter-specific Direct Loan activity by institution for the fourth quarter (Q4) of Award Year 2023-2024 (April 1-June 30, 2024). Each row corresponds to a school identified by OPE ID and includes institutional attributes (school name, state, ZIP code, and school type), followed by loan metrics broken out by loan program: Direct Subsidized, Direct Unsubsidized (Undergraduate), Direct Unsubsidized (Graduate), Direct Parent PLUS, and Direct Grad PLUS. For each loan program, the table shows the number of recipients, loans originated, dollars originated, disbursements, and dollars disbursed, restricted to loans whose first disbursement occurred within the reported quarter. All values reflect activity occurring during the quarter only and are not cumulative across prior quarters."
academic_year_2023_2024_q4_data_award_year_summary,"This table presents cumulative Direct Loan activity for Award Year 2023-2024 through the end of the fourth quarter (Q4, April 1-June 30, 2024), aggregated by institution. As in the quarterly table, each row corresponds to a school and reports institutional attributes along with loan metrics by loan program: Direct Subsidized, Direct Unsubsidized (Undergraduate), Direct Unsubsidized (Graduate), Direct Parent PLUS, and Direct Grad PLUS. For each program, the table includes recipients, loans originated, dollars originated, disbursements, and dollars disbursed, where all values represent year-to-date totals from the beginning of the award year through the quarter end date. Compared to the quarterly activity table, values in this table are cumulative and therefore typically larger."
academic_year_2024_2025_q4_data_quarterly_activity,"This table reports quarter-specific Direct Loan activity by institution for the fourth quarter (Q4) of Award Year 2024-2025 (April 1-June 30, 2025). Each row corresponds to a school identified by OPE ID and includes institutional attributes (school name, state, ZIP code, and school type), followed by loan metrics broken out by loan program: Direct Subsidized, Direct Unsubsidized (Undergraduate), Direct Unsubsidized (Graduate), Direct Parent PLUS, and Direct Grad PLUS. For each loan program, the table shows the number of recipients, loans originated, dollars originated, disbursements, and dollars disbursed, restricted to loans whose first disbursement occurred within the reported quarter. All values reflect activity occurring during the quarter only and are not cumulative across prior quarters."
academic_year_2024_2025_q4_data_award_year_summary,"This table presents cumulative Direct Loan activity for Award Year 2024-2025 through the end of the fourth quarter (Q4, April 1-June 30, 2025), aggregated by institution. As in the quarterly table, each row corresponds to a school and reports institutional attributes along with loan metrics by loan program: Direct Subsidized, Direct Unsubsidized (Undergraduate), Direct Unsubsidized (Graduate), Direct Parent PLUS, and Direct Grad PLUS. For each program, the table includes recipients, loans originated, dollars originated, disbursements, and dollars disbursed, where all values represent year-to-date totals from the beginning of the award year through the quarter end date. Compared to the quarterly activity table, values in this table are cumulative and therefore typically larger."
