table_name,description
A-global-proteomics,"Global proteomics data, median polishing and log2 transformed, no missing value filtering"
B-phospho-proteomics,"Phosphoproteomics site level data, median polishing and log2 transformed, no missing value filtering"
A-MSI,"MSI-H determination"
B-SE-proteomics,"Significant genes by global proteomics in Figure 1"
C-SE-phospho,"Significant genes by phosphoproteomics in Figure 1"
D-SE-acetyl,"Significant genes by acetylproteomics in Figure 1"
E-Mutation-adjacent,"Mutation calling results for adjacent tissue"
F-SS-phospho,"Significant phospho sites for pairwise comparison"
A-Variants,"Both single amino acid variants (SAAVs) and insertions/deletions (indels)"
B-Novel Splice Junctions,"Splice junctions where neither boundary was at a known splice site"
C-Alternate Splice Junctions,"Splice junctions in known genes where either the donor splice site is a canonical donor, or both the donor and acceptor sites are canonical (but at least one exon is skipped)"
A-SE in SCNA hotspots,"Genes located in SCNA hotspots with significant trans effects"
B-circRNA and RBP correlation,"Correlations between circRNA expression and RNA binding protein abundance"
A-SE protein between Serous and endo,"Significantly expressed proteins between Serous and Endometrioid tumors"
B-SE phospho site between Serous and endo,"Significantly expressed phospho sites between Serous and Endometrioid tumors"
C-SE scetyl site between Serous and endo,"Significantly expressed acetyl sites between Serous and Endometrioid tumors"
D-SE protein between MSI-H and MSS,"Significantly expressed proteins between MSI-H and MSS tumors"
E-SE phospho site between MSI-H and MSS,"Significantly expressed phospho sites between MSI-H and MSS tumors"
F-SE scetyl site between MSI-H and MSS,"Significantly expressed acetyl sites between MSI-H and MSS tumors"
G-FDA approved drugs,"FDA approved drugs for highly expressed genes"
A-predicted neoantigen,"Predicted neoantigens with mrna and protein evidence"
B-APM subtypes,"APM subtypes and immune scores"
